lang_code,id,name,descr,is_active
eng,10001,Pre-Registration,Web portal for pre-registrations,True
eng,10003,Registration Client,Desktop application for Registrations,True
eng,10005,Registration Processor,Application for post-registration process,True
eng,10007,ID Authentication,Application for third party service provider authentication,True
eng,10009,ID Control,Web portal for configuring applications,True
eng,10011,Resident Portal,Web portal for Post ID generation services,True
fra,10001,Pré-inscription,Portail Web pour les pré-inscriptions,True
fra,10003,Client dinscription,Application de bureau pour les inscriptions,True
fra,10005,Processeur dinscription,Demande de post-inscription,True
fra,10007,Authentification ID,Application pour lauthentification du fournisseur de services tiers,True
fra,10009,Contrôle didentité,Portail Web pour la configuration dapplications,True
fra,10011,Portail Résident,Portail Web pour les services de génération de post-ID,True
