id,name,descr,lang_code,is_active,cr_by,cr_dtimes
10001,Pre-Registration,Web portal for pre-registrations,eng,TRUE,superadmin,now()
10001,ما قبل التسجيل,بوابة الويب للتسجيلات المسبقة,ara,TRUE,superadmin,now()
10002,Registration Client,Desktop application for Registrations,eng,TRUE,superadmin,now()
10002,عميل التسجيل,تطبيق سطح المكتب للتسجيلات,ara,TRUE,superadmin,now()
10003,Registration Processor,Application for post-registration process,eng,TRUE,superadmin,now()
10003,معالج التسجيل,طلب لعملية ما بعد التسجيل,ara,TRUE,superadmin,now()
10004,ID Authentication,Application for third party service provider authentication,eng,TRUE,superadmin,now()
10004,مصادقة الهوية,تطبيق لمصادقة موفر خدمة جهة خارجية,ara,TRUE,superadmin,now()
10005,ID Control,Web portal for configuring applications,eng,TRUE,superadmin,now()
10005,التحكم في الهوية,بوابة الويب لتكوين التطبيقات,ara,TRUE,superadmin,now()
10006,Resident Portal,Web portal for Post ID generation services,eng,TRUE,superadmin,now()
10006,بوابة المقيمين,البوابة الإلكترونية لخدمات إنشاء معرف المشاركة,ara,TRUE,superadmin,now()
10001,Pré-inscription,Portail Web pour les pré-inscriptions,fra,TRUE,superadmin,now()
10002,Client dinscription,Application de bureau pour les inscriptions,fra,TRUE,superadmin,now()
10003,Processeur dinscription,Demande de post-inscription,fra,TRUE,superadmin,now()
10004,Authentification ID,Application pour lauthentification du fournisseur de services tiers,fra,TRUE,superadmin,now()
10005,Contrôle didentité,Portail Web pour la configuration dapplications,fra,TRUE,superadmin,now()
10006,Portail Résident,Portail Web pour les services de génération de post-ID,fra,TRUE,superadmin,now()
