code,name,descr,lang_code,is_active,cr_by,cr_dtimes
CIN,CNIE card,Moroccan National Electronic ID Card,eng,TRUE,superadmin,now()
CIN,نَتِنَل ِد,بطاقة الهوية الوطنية المغربية,ara,TRUE,superadmin,now()
CIN,carte didentité,Carte didentité électronique nationale marocaine,fra,TRUE,superadmin,now()
RNC,Rental contract,Rental Agreement of address,eng,TRUE,superadmin,now()
RNC,عقد ايجار,اتفاق تأجير العنوان,ara,TRUE,superadmin,now()
RNC,Contrat de location,Contrat de location dadresse,fra,TRUE,superadmin,now()
COR,Certificate of residence,Proof of Resident,eng,TRUE,superadmin,now()
COR,شهادة الاقامة,اثبات محل الاقامة,ara,TRUE,superadmin,now()
COR,Certificat de résidence,Preuve de résidence,fra,TRUE,superadmin,now()
DOC001,Passport,Proof of Idendity,eng,TRUE,superadmin,now()
DOC001,جواز سفر,إثبات الهوية,ara,TRUE,superadmin,now()
DOC001,Passeport,Preuve didentité,fra,TRUE,superadmin,now()
CRN,Certificate of Relationship,Proof relationship of a person,eng,TRUE,superadmin,now()
CRN,شهادة العلاقة,علاقة إثبات للشخص,ara,TRUE,superadmin,now()
CRN,Certificat de relation,Preuve de relation dune personne,fra,TRUE,superadmin,now()
COB,Certificate of Birth,Proof birth and age of a person,eng,TRUE,superadmin,now()
COB,شهادة الميلاد,إثبات الولادة وعمر الشخص,ara,TRUE,superadmin,now()
COB,Certificat de naissance,Preuve de naissance et âge dune personne,fra,TRUE,superadmin,now()
COE,Certification of Exception,Certificate of Exception,eng,TRUE,superadmin,now()
COE,شهادة استثناء,شهادة استثناء,ara,TRUE,superadmin,now()
COE,Certification dexception,Certification dexception,fra,TRUE,superadmin,now()
DOC002,PAN card,PAN card,eng,TRUE,superadmin,now()
DOC003,Either Ration or PDS Photo card,Either Ration or PDS Photo card,eng,TRUE,superadmin,now()
DOC004,Voter Identification card,Voter Identification card,eng,TRUE,superadmin,now()
DOC005,Driving licence of the applicant,Driving licence of the applicant,eng,TRUE,superadmin,now()
DOC006,Photo identification cards issued by the Government,Photo identification cards issued by the Government,eng,TRUE,superadmin,now()
DOC007,Service photo ID cards that is issued by a PSU,Service photo ID cards that is issued by a PSU,eng,TRUE,superadmin,now()
DOC008,Licence of Arms,Licence of Arms,eng,TRUE,superadmin,now()
DOC009,Photo Bank ATM card,Photo Bank ATM card,eng,TRUE,superadmin,now()
DOC010,Photo Credit card,Photo Credit card,eng,TRUE,superadmin,now()
DOC011,Photo card of the Freedom Fighter,Photo card of the Freedom Fighter,eng,TRUE,superadmin,now()
DOC012,Certificate of Marriage,Certificate of Marriage,eng,TRUE,superadmin,now()
DOC013,Passbook or Bank Statement,Passbook or Bank Statement,eng,TRUE,superadmin,now()
DOC014,Account statement or passbook of the Post Office,Account statement or passbook of the Post Office,eng,TRUE,superadmin,now()
DOC015,Ration Card,Ration Card,eng,TRUE,superadmin,now()
DOC016,PSU issued Service photo ID card with address,PSU issued Service photo ID card with address,eng,TRUE,superadmin,now()
DOC017,Previous 3 months’ electricity bill,Previous 3 months’ electricity bill,eng,TRUE,superadmin,now()
DOC018,Water bill as long as it is not more than 3 months’ old,Water bill as long as it is not more than 3 months’ old,eng,TRUE,superadmin,now()
DOC024,PDS Card,PDS Card,eng,TRUE,superadmin,now()
