code,name,descr,rsncat_code,lang_code,is_active,cr_by,cr_dtimes
APM,Age-Photo Mismatch,Mismatch between the Age and Photo,CLR,eng,TRUE,superadmin,now()
GPM,Gender-Photo Mismatch,Gender-Photo Mismatch between Gender and Photo,CLR,eng,TRUE,superadmin,now()
IAD,Invalid Address,Invalid Address found,CLR,eng,TRUE,superadmin,now()
DPG,Duplicate Registration,Duplicate Registration found,CLR,eng,TRUE,superadmin,now()
OTH,Others,Others,CLR,eng,TRUE,superadmin,now()
ADM,All the Details are matching,All the Details are matching,MNA,eng,TRUE,superadmin,now()
ADD,All the Demographic Details are Matching,All the Demographic Details are Matching,MNA,eng,TRUE,superadmin,now()
OPM,Only the Photograph is Matching,Only the Photograph is Matching,MNA,eng,TRUE,superadmin,now()
SDM,Some of the Demographic Details are Matching,Some of the Demographic Details are Matching,MNA,eng,TRUE,superadmin,now()
APM,عدم تطابق العمر-صور,حدث عدم تطابق بين العمر وصور,CLR,ara,TRUE,superadmin,now()
GPM,عدم تطابق نوع الجنس-صور,عدم تطابق نوع الجنس-صور بين الجنسين وصور,CLR,ara,TRUE,superadmin,now()
IAD,عنوان غير صالح,يتم العثور على عنوان غير صالح,CLR,ara,TRUE,superadmin,now()
DPG,تسجيل مكرر,تكرار التسجيل العثور على,CLR,ara,TRUE,superadmin,now()
OTH,الآخرين,الآخرين,CLR,ara,TRUE,superadmin,now()
ADM,يتم مطابقة جميع التفاصيل,يتم مطابقة جميع التفاصيل,MNA,ara,TRUE,superadmin,now()
ADD,جميع تفاصيل ديموغرافية هي مطابقة,جميع تفاصيل ديموغرافية هي مطابقة,MNA,ara,TRUE,superadmin,now()
OPM,إلا الصورة هي مطابقة,إلا الصورة هي مطابقة,MNA,ara,TRUE,superadmin,now()
SDM,بعض التفاصيل الديمغرافية هي مطابقة,بعض التفاصيل الديمغرافية هي مطابقة,MNA,ara,TRUE,superadmin,now()
APM,Décalage de lâge-Photo,Discordance entre lâge et la Photo,CLR,fra,TRUE,superadmin,now()
GPM,Incompatibilité de sexe-Photo,Sexe-Photo discordance entre le sexe et la Photo,CLR,fra,TRUE,superadmin,now()
IAD,Adresse non valide,Adresse non valide trouvée,CLR,fra,TRUE,superadmin,now()
DPG,Enregistrement en double,Double enregistrement trouvé,CLR,fra,TRUE,superadmin,now()
OTH,Dautres,Dautres,CLR,fra,TRUE,superadmin,now()
ADM,Tous les détails sont adaptent,Tous les détails sont adaptent,MNA,fra,TRUE,superadmin,now()
ADD,Tous les détails démographiques sont Matching,Tous les détails démographiques sont Matching,MNA,fra,TRUE,superadmin,now()
OPM,La photographie est le rapprochement,La photographie est le rapprochement,MNA,fra,TRUE,superadmin,now()
SDM,Certains détails démographiques sont Matching,Certains détails démographiques sont Matching,MNA,fra,TRUE,superadmin,now()
